item_type,label,figure_stem,status,role,manuscript_use,svg_path,pdf_path,tiff_path,png_path,all_formats_exist,png_size_bytes
main_figure,Figure 1,paper_fig01_modeling_framework,active,modeling framework,main_text,analysis_outputs\paper_figures\paper_fig01_modeling_framework.svg,analysis_outputs\paper_figures\paper_fig01_modeling_framework.pdf,analysis_outputs\paper_figures\paper_fig01_modeling_framework.tiff,analysis_outputs\paper_figures\paper_fig01_modeling_framework.png,True,263021
main_figure,Figure 2,paper_fig02_process_matrix,active,multi-condition process matrix,main_text,analysis_outputs\paper_figures\paper_fig02_process_matrix.svg,analysis_outputs\paper_figures\paper_fig02_process_matrix.pdf,analysis_outputs\paper_figures\paper_fig02_process_matrix.tiff,analysis_outputs\paper_figures\paper_fig02_process_matrix.png,True,41754
main_figure,Figure 3,paper_fig03_data_moving_frame,active,moving-frame reconstruction,main_text,analysis_outputs\paper_figures\paper_fig03_data_moving_frame.svg,analysis_outputs\paper_figures\paper_fig03_data_moving_frame.pdf,analysis_outputs\paper_figures\paper_fig03_data_moving_frame.tiff,analysis_outputs\paper_figures\paper_fig03_data_moving_frame.png,True,424259
main_figure,Figure 4,paper_fig13_simulation_cross_sections,active,thermal-flow cross-section context,main_text,analysis_outputs\paper_figures\paper_fig13_simulation_cross_sections.svg,analysis_outputs\paper_figures\paper_fig13_simulation_cross_sections.pdf,analysis_outputs\paper_figures\paper_fig13_simulation_cross_sections.tiff,analysis_outputs\paper_figures\paper_fig13_simulation_cross_sections.png,True,2043326
main_figure,Figure 5,paper_fig04_geometry_quasi_steady,active,geometric evolution and quasi-steady approach,main_text,analysis_outputs\paper_figures\paper_fig04_geometry_quasi_steady.svg,analysis_outputs\paper_figures\paper_fig04_geometry_quasi_steady.pdf,analysis_outputs\paper_figures\paper_fig04_geometry_quasi_steady.tiff,analysis_outputs\paper_figures\paper_fig04_geometry_quasi_steady.png,True,76389
main_figure,Figure 6,paper_fig05_free_boundary_model_comparison,active,boundary overlays and cross-condition comparison,main_text,analysis_outputs\paper_figures\paper_fig05_free_boundary_model_comparison.svg,analysis_outputs\paper_figures\paper_fig05_free_boundary_model_comparison.pdf,analysis_outputs\paper_figures\paper_fig05_free_boundary_model_comparison.tiff,analysis_outputs\paper_figures\paper_fig05_free_boundary_model_comparison.png,True,379415
main_figure,Figure 7,paper_fig06_process_response,active,process-response surface diagnostics,main_text,analysis_outputs\paper_figures\paper_fig06_process_response.svg,analysis_outputs\paper_figures\paper_fig06_process_response.pdf,analysis_outputs\paper_figures\paper_fig06_process_response.tiff,analysis_outputs\paper_figures\paper_fig06_process_response.png,True,142021
main_figure,Figure 8,paper_fig07_dimensionless_regime,active,dimensionless regime and sensitivity,main_text,analysis_outputs\paper_figures\paper_fig07_dimensionless_regime.svg,analysis_outputs\paper_figures\paper_fig07_dimensionless_regime.pdf,analysis_outputs\paper_figures\paper_fig07_dimensionless_regime.tiff,analysis_outputs\paper_figures\paper_fig07_dimensionless_regime.png,True,44770
main_figure,Figure 9,paper_fig08_dynamics_validation,active,cross-condition dynamics validation,main_text,analysis_outputs\paper_figures\paper_fig08_dynamics_validation.svg,analysis_outputs\paper_figures\paper_fig08_dynamics_validation.pdf,analysis_outputs\paper_figures\paper_fig08_dynamics_validation.tiff,analysis_outputs\paper_figures\paper_fig08_dynamics_validation.png,True,61113
main_figure,Figure 10,paper_fig14_dynamics_residuals_by_state,active,state-wise dynamics residuals,main_text,analysis_outputs\paper_figures\paper_fig14_dynamics_residuals_by_state.svg,analysis_outputs\paper_figures\paper_fig14_dynamics_residuals_by_state.pdf,analysis_outputs\paper_figures\paper_fig14_dynamics_residuals_by_state.tiff,analysis_outputs\paper_figures\paper_fig14_dynamics_residuals_by_state.png,True,190310
main_figure,Figure 11,paper_fig09_error_budget_model_selection,active,error budget and model selection,main_text,analysis_outputs\paper_figures\paper_fig09_error_budget_model_selection.svg,analysis_outputs\paper_figures\paper_fig09_error_budget_model_selection.pdf,analysis_outputs\paper_figures\paper_fig09_error_budget_model_selection.tiff,analysis_outputs\paper_figures\paper_fig09_error_budget_model_selection.png,True,61807
main_figure,Figure 12,paper_fig10_identifiability_overparameterization,active,identifiability and overparameterization,main_text,analysis_outputs\paper_figures\paper_fig10_identifiability_overparameterization.svg,analysis_outputs\paper_figures\paper_fig10_identifiability_overparameterization.pdf,analysis_outputs\paper_figures\paper_fig10_identifiability_overparameterization.tiff,analysis_outputs\paper_figures\paper_fig10_identifiability_overparameterization.png,True,51329
main_figure,Figure 13,paper_fig11_leave_one_condition_validation,active,leave-one-condition-out validation,main_text,analysis_outputs\paper_figures\paper_fig11_leave_one_condition_validation.svg,analysis_outputs\paper_figures\paper_fig11_leave_one_condition_validation.pdf,analysis_outputs\paper_figures\paper_fig11_leave_one_condition_validation.tiff,analysis_outputs\paper_figures\paper_fig11_leave_one_condition_validation.png,True,89710
main_figure,Figure 14,paper_fig12_external_holdout_validation,active,melt-pool-data holdout,main_text,analysis_outputs\paper_figures\paper_fig12_external_holdout_validation.svg,analysis_outputs\paper_figures\paper_fig12_external_holdout_validation.pdf,analysis_outputs\paper_figures\paper_fig12_external_holdout_validation.tiff,analysis_outputs\paper_figures\paper_fig12_external_holdout_validation.png,True,68453
supplementary_figure,Supplementary Figure S1,supp_figS1_all_boundary_fits,active,all time-step boundary fits,supplementary_methods,analysis_outputs\figures\supp_figS1_all_boundary_fits.svg,analysis_outputs\figures\supp_figS1_all_boundary_fits.pdf,analysis_outputs\figures\supp_figS1_all_boundary_fits.tiff,analysis_outputs\figures\supp_figS1_all_boundary_fits.png,True,365982
supplementary_figure,Supplementary Figure S2,supp_figS2_superellipsoid_parameters,active,superellipsoid parameter trajectories,supplementary_methods,analysis_outputs\figures\supp_figS2_superellipsoid_parameters.svg,analysis_outputs\figures\supp_figS2_superellipsoid_parameters.pdf,analysis_outputs\figures\supp_figS2_superellipsoid_parameters.tiff,analysis_outputs\figures\supp_figS2_superellipsoid_parameters.png,True,146116
supplementary_figure,Supplementary Figure S3,supp_figS4_dimensionless_sensitivity_grid,active,dimensionless sensitivity scenario grid,supplementary_methods,analysis_outputs\figures\supp_figS4_dimensionless_sensitivity_grid.svg,analysis_outputs\figures\supp_figS4_dimensionless_sensitivity_grid.pdf,analysis_outputs\figures\supp_figS4_dimensionless_sensitivity_grid.tiff,analysis_outputs\figures\supp_figS4_dimensionless_sensitivity_grid.png,True,42578
supplementary_figure,Supplementary Figure S4,supp_figS5_theory_identifiability_error_bounds,active,"theory, identifiability and error-budget diagnostics",supplementary_methods,analysis_outputs\figures\supp_figS5_theory_identifiability_error_bounds.svg,analysis_outputs\figures\supp_figS5_theory_identifiability_error_bounds.pdf,analysis_outputs\figures\supp_figS5_theory_identifiability_error_bounds.tiff,analysis_outputs\figures\supp_figS5_theory_identifiability_error_bounds.png,True,74111
supplementary_figure,Supplementary Figure S5,supp_figS6_convex_alpha_proxy_comparison,active,convex-hull and alpha-complex proxy comparison,supplementary_methods,analysis_outputs\figures\supp_figS6_convex_alpha_proxy_comparison.svg,analysis_outputs\figures\supp_figS6_convex_alpha_proxy_comparison.pdf,analysis_outputs\figures\supp_figS6_convex_alpha_proxy_comparison.tiff,analysis_outputs\figures\supp_figS6_convex_alpha_proxy_comparison.png,True,193748
supplementary_figure,Supplementary Figure S6,fig10_stability_attractor,active,representative stability and attractor evidence,supplementary_methods,analysis_outputs\figures\fig10_stability_attractor.svg,analysis_outputs\figures\fig10_stability_attractor.pdf,analysis_outputs\figures\fig10_stability_attractor.tiff,analysis_outputs\figures\fig10_stability_attractor.png,True,125762
supplementary_figure,Supplementary Figure S7,fig05_boundary_fit_comparison,active,expanded representative boundary overlays,supplementary_methods,analysis_outputs\figures\fig05_boundary_fit_comparison.svg,analysis_outputs\figures\fig05_boundary_fit_comparison.pdf,analysis_outputs\figures\fig05_boundary_fit_comparison.tiff,analysis_outputs\figures\fig05_boundary_fit_comparison.png,True,526118
supplementary_figure,Supplementary Figure S8,fig03_thermal_flow_evolution,active,thermal-flow state evolution,supplementary_methods,analysis_outputs\figures\fig03_thermal_flow_evolution.svg,analysis_outputs\figures\fig03_thermal_flow_evolution.pdf,analysis_outputs\figures\fig03_thermal_flow_evolution.tiff,analysis_outputs\figures\fig03_thermal_flow_evolution.png,True,102060
supplementary_figure,Supplementary Figure S9,fig06_dynamics_model_comparison,active,dynamical model trajectory comparison,supplementary_methods,analysis_outputs\figures\fig06_dynamics_model_comparison.svg,analysis_outputs\figures\fig06_dynamics_model_comparison.pdf,analysis_outputs\figures\fig06_dynamics_model_comparison.tiff,analysis_outputs\figures\fig06_dynamics_model_comparison.png,True,138203
supplementary_figure,Supplementary Figure S10,supp_figS10_temperature_dependent_properties,active,temperature-dependent material-property curves,supplementary_methods,analysis_outputs\figures\supp_figS10_temperature_dependent_properties.svg,analysis_outputs\figures\supp_figS10_temperature_dependent_properties.pdf,analysis_outputs\figures\supp_figS10_temperature_dependent_properties.tiff,analysis_outputs\figures\supp_figS10_temperature_dependent_properties.png,True,168582
