case_id,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min,context,state,label,model,train_points,validation_points,validation_rmse,validation_relative_rmse,status
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,last_train_persistence,9,3,0.00019453282499362347,0.18723082290050394,ok
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,independent_ar1,9,3,0.00018166891220378957,0.1748497711297302,ok
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,last_train_persistence,9,3,6.200403212695137e-05,0.04958339234462322,ok
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,independent_ar1,9,3,4.266798829245006e-05,0.03412074233702522,ok
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,full_width_m,W,last_train_persistence,9,3,2.4559752984642743e-05,0.014967488645056539,ok
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,full_width_m,W,independent_ar1,9,3,1.2730117453547234e-05,0.007758135375194855,ok
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,height_span_m,H,last_train_persistence,9,3,6.80501129070825e-05,0.04730761571895117,ok
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,height_span_m,H,independent_ar1,9,3,4.7476188824590916e-05,0.03300487245011395,ok
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,last_train_persistence,9,3,28.63628234716693,0.009859394385831109,ok
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,independent_ar1,9,3,118.9434750751083,0.040951916040274164,ok
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,last_train_persistence,9,3,46177.46851434694,0.040991043381919064,ok
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,independent_ar1,9,3,70288.99239827933,0.06239448002165985,ok
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,last_train_persistence,9,3,0.17143272758400466,0.2586415882077293,ok
A1-750-8-60000,1,750.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,independent_ar1,9,3,0.1719488260452649,0.25942022906337636,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,last_train_persistence,9,3,0.00010581364121258947,0.13477727832453126,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,independent_ar1,9,3,6.532540643590605e-05,0.08320647871087258,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,last_train_persistence,9,3,0.00010239666335709756,0.09096265733063652,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,independent_ar1,9,3,8.906290099962552e-05,0.07911779426101581,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,full_width_m,W,last_train_persistence,9,3,5.535693271849522e-05,0.03765163015459736,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,full_width_m,W,independent_ar1,9,3,5.4661600821507743e-05,0.03717869247300287,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,height_span_m,H,last_train_persistence,9,3,3.714363015825642e-05,0.033235986586038324,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,height_span_m,H,independent_ar1,9,3,2.9023018509852837e-05,0.02596969250905042,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,last_train_persistence,9,3,393.5671607235541,0.15109497743504371,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,independent_ar1,9,3,321.6382032109131,0.12348062009812001,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,last_train_persistence,9,3,120181.59302314573,0.11444191472129911,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,independent_ar1,9,3,118451.95472343387,0.1127948811463972,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,last_train_persistence,9,3,0.017388663126679756,0.0375038978512358,ok
A2-550-8-60000,2,550.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,independent_ar1,9,3,0.08329020438822378,0.17964045278395974,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,last_train_persistence,9,3,0.00010110458281733144,0.10257135316762855,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,independent_ar1,9,3,9.543571792273216e-05,0.09682024746143066,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,last_train_persistence,9,3,5.9169981127821364e-05,0.04132270488708802,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,independent_ar1,9,3,7.103277768288752e-05,0.04960735923101299,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,full_width_m,W,last_train_persistence,9,3,1.6761710334370176e-05,0.009759554965280361,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,full_width_m,W,independent_ar1,9,3,4.173542143066673e-05,0.02430057144088196,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,height_span_m,H,last_train_persistence,9,3,6.11478944854196e-05,0.03702993047060794,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,height_span_m,H,independent_ar1,9,3,3.6924553775063316e-05,0.022360764347738045,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,last_train_persistence,9,3,238.53936083310575,0.07485701400649775,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,independent_ar1,9,3,549.3665108354621,0.17239895526123833,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,last_train_persistence,9,3,94006.11191048534,0.0784404992761424,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,independent_ar1,9,3,96249.51074028785,0.08031243420365848,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,last_train_persistence,9,3,0.07479208489223231,0.12209229751058698,ok
A3-950-8-60000,3,950.0,8.0,0.008,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,independent_ar1,9,3,0.07989196520466103,0.13041745792389295,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,last_train_persistence,9,3,0.00019410637118171448,0.2388805486914483,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,independent_ar1,9,3,0.00016302880414363418,0.200634373561514,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,last_train_persistence,9,3,4.5579710398378034e-05,0.041187725893892614,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,independent_ar1,9,3,3.7123643037595004e-05,0.03354647101201392,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,full_width_m,W,last_train_persistence,9,3,0.0001613834733380921,0.09231830385676733,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,full_width_m,W,independent_ar1,9,3,0.00016489419093253788,0.09432658566490738,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,height_span_m,H,last_train_persistence,9,3,0.00011910037055637865,0.08766963682582825,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,height_span_m,H,independent_ar1,9,3,4.484180475317155e-05,0.033007997531496365,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,last_train_persistence,9,3,479.3650522653205,0.18878833696041505,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,independent_ar1,9,3,370.9285710821263,0.14608279793191717,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,last_train_persistence,9,3,211612.72379848754,0.21086550589956693,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,independent_ar1,9,3,146395.47314448742,0.14587854147851312,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,last_train_persistence,9,3,0.1184682860178465,0.21058438569347784,ok
A4-750-6-60000,4,750.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,independent_ar1,9,3,0.07484266981381338,0.13303727247330513,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,last_train_persistence,9,3,0.0006791630412991183,1.032738164071852,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,independent_ar1,9,3,0.0006927362655896193,1.053377665755416,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,last_train_persistence,9,3,0.00010423515082095228,0.07331554263876412,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,independent_ar1,9,3,8.388124258670679e-05,0.05899927969617376,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,full_width_m,W,last_train_persistence,9,3,0.00024400924709253686,0.1675864665956078,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,full_width_m,W,independent_ar1,9,3,0.0002726575979764039,0.187262261491191,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,height_span_m,H,last_train_persistence,9,3,0.00043540238259185814,0.37127037549650943,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,height_span_m,H,independent_ar1,9,3,0.00043034111044644034,0.366954596610015,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,last_train_persistence,9,3,1047.5860791998591,0.38144436135009613,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,independent_ar1,9,3,786.2841521805038,0.28629977261369705,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,last_train_persistence,9,3,406323.4943224494,0.38337471643923127,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,independent_ar1,9,3,344059.20819869527,0.3246270600262298,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,last_train_persistence,9,3,0.20454200409342743,0.401027449681835,ok
A5-750-10-60000,5,750.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,independent_ar1,9,3,0.18450408777393143,0.3617408761774752,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,front_length_m,L_f,last_train_persistence,9,3,0.00016611218097016997,0.18162938473977114,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,front_length_m,L_f,independent_ar1,9,3,0.00015330769325819045,0.16762877857439645,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,rear_length_m,L_r,last_train_persistence,9,3,4.3985376357755094e-05,0.03984423246369505,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,rear_length_m,L_r,independent_ar1,9,3,4.3230487681953974e-05,0.039160415195924246,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,full_width_m,W,last_train_persistence,9,3,1.0219810826690257e-05,0.00665996873711769,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,full_width_m,W,independent_ar1,9,3,1.759654247889934e-05,0.011467181220690605,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,height_span_m,H,last_train_persistence,9,3,2.5423552072831837e-05,0.01934453267858614,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,height_span_m,H,independent_ar1,9,3,1.9169669687625306e-05,0.014586014599676853,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Tmax_K,Tmax,last_train_persistence,9,3,46.81256953710902,0.01544510526150946,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Tmax_K,Tmax,independent_ar1,9,3,49.39986636548686,0.016298745047836242,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Gmean_K_per_m,Gmean,last_train_persistence,9,3,68178.82537807812,0.04971642713126335,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Gmean_K_per_m,Gmean,independent_ar1,9,3,24365.410452394313,0.01776741013888572,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Umax_m_per_s,Umax,last_train_persistence,9,3,0.09095223512389271,0.17045832589099308,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Umax_m_per_s,Umax,independent_ar1,9,3,0.06854543972392893,0.12846458239192335,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,front_length_m,L_f,last_train_persistence,9,3,0.00019742558935794866,0.16976518231880477,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,front_length_m,L_f,independent_ar1,9,3,0.00026698985418995225,0.22958311240823692,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,rear_length_m,L_r,last_train_persistence,9,3,1.4337828752406174e-05,0.01132917698454408,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,rear_length_m,L_r,independent_ar1,9,3,5.1450645252666325e-05,0.04065423545658043,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,full_width_m,W,last_train_persistence,9,3,1.3637013358258972e-05,0.00798479201712401,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,full_width_m,W,independent_ar1,9,3,1.4352217730406862e-05,0.008403560996174694,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,height_span_m,H,last_train_persistence,9,3,7.722999978419462e-05,0.05480258847619612,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,height_span_m,H,independent_ar1,9,3,3.985831096933127e-05,0.028283550686420533,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,Tmax_K,Tmax,last_train_persistence,9,3,99.08962273282378,0.03776761125631704,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,Tmax_K,Tmax,independent_ar1,9,3,85.58633233469536,0.03262088641901742,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,Gmean_K_per_m,Gmean,last_train_persistence,9,3,48999.8407197135,0.04933305295805476,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,Gmean_K_per_m,Gmean,independent_ar1,9,3,15123.404388450557,0.01522624764984892,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,Umax_m_per_s,Umax,last_train_persistence,9,3,0.06426421113363022,0.12337458381798867,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,Umax_m_per_s,Umax,independent_ar1,9,3,0.1079172199591172,0.20717973292420805,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,last_train_persistence,9,3,4.9864115353628805e-05,0.0811634453154395,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,independent_ar1,9,3,5.144861573956027e-05,0.08374252466967659,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,last_train_persistence,9,3,7.950350097113159e-05,0.07642607758055457,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,independent_ar1,9,3,9.617290653498998e-05,0.09245024340072093,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,full_width_m,W,last_train_persistence,9,3,0.0001859984121796026,0.132024880641582,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,full_width_m,W,independent_ar1,9,3,7.339461207343982e-05,0.05209676139264238,ok
