analysis_role,used_for_model_selection,validation_cohort,source_root,case_id,case_index,power_W,scan_speed_mm_s,particle_rate,powder_feed_g_min,selection_scope,selection_statement,ellipsoid_mean_boundary_residual_rmse,superellipsoid_mean_boundary_residual_rmse,super_minus_ellipsoid_mean_boundary_residual_rmse,superellipsoid_improves_mean_boundary_residual_rmse,ellipsoid_mean_normalized_chamfer_distance,superellipsoid_mean_normalized_chamfer_distance,super_minus_ellipsoid_mean_normalized_chamfer_distance,superellipsoid_improves_mean_normalized_chamfer_distance,ellipsoid_mean_hausdorff_distance_m,superellipsoid_mean_hausdorff_distance_m,super_minus_ellipsoid_mean_hausdorff_distance_m,superellipsoid_improves_mean_hausdorff_distance_m,ellipsoid_mean_radial_distance_rmse_m,superellipsoid_mean_radial_distance_rmse_m,super_minus_ellipsoid_mean_radial_distance_rmse_m,superellipsoid_improves_mean_radial_distance_rmse_m,ellipsoid_mean_volume_relative_error,superellipsoid_mean_volume_relative_error,super_minus_ellipsoid_mean_volume_relative_error,superellipsoid_improves_mean_volume_relative_error
model_construction,True,,,A1-750-8-60000,1.0,750.0,8.0,60000.0,12.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.25713390312132384,0.19904134849199515,-0.05809255462932869,True,0.171220844978073,0.16224135243787288,-0.008979492540200112,True,0.0017593836129335308,0.0015573961903612994,-0.00020198742257223137,True,0.0002526145369826604,0.0002572066466925567,4.592109709896318e-06,False,1.568182845514552,1.278615294810347,-0.2895675507042048,True
model_construction,True,,,A10-550-8-40000,10.0,550.0,8.0,40000.0,8.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.2604011883183764,0.19246326522817928,-0.06793792309019711,True,0.1749562266785852,0.2120190838008046,0.03706285712221938,False,0.001370566279378694,0.0015283646606905942,0.00015779838131190025,False,0.00016152682570792315,0.00016544980851675877,3.922982808835624e-06,False,1.5747951512420635,1.6742703080181034,0.09947515677603991,False
model_construction,True,,,A11-550-8-70000,11.0,550.0,8.0,70000.0,14.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.2883102881582325,0.2116019745536637,-0.07670831360456881,True,0.1990842056792048,0.29312695865885174,0.09404275297964695,False,0.0015759660723569473,0.002264396557561894,0.0006884304852049466,False,0.0002076778766321067,0.00021586240945954636,8.18453282743967e-06,False,2.2142369804013966,2.9460438495578156,0.731806869156419,False
model_construction,True,,,A12-950-6-60000,12.0,950.0,6.0,60000.0,12.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.2610706558778579,0.1877235852213115,-0.07334707065654639,True,0.11416084496732344,0.16580878970987448,0.051647944742551036,False,0.0010156899608450435,0.0013577007509961699,0.0003420107901511264,False,0.00022196677786598588,0.0002296291742684012,7.66239640241531e-06,False,1.1603934292467004,1.5959883538455821,0.4355949245988817,False
model_construction,True,,,A13-950-10-60000,13.0,950.0,10.0,60000.0,12.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.2627744477123187,0.17487650218559078,-0.08789794552672794,True,0.08569606093386208,0.15504816452286393,0.06935210358900186,False,0.0007375388645394129,0.0013894247091567338,0.0006518858446173209,False,0.0001777926232880427,0.00021442925634806143,3.663663306001873e-05,False,0.5717903579338859,0.7200286411177048,0.14823828318381893,False
model_construction,True,,,A14-950-8-40000,14.0,950.0,8.0,40000.0,8.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.27074381601380343,0.17980202322240887,-0.09094179279139455,True,0.08017027871709141,0.14129889890133485,0.061128620184243435,False,0.0005797427183307618,0.0010871256852666435,0.0005073829669358817,False,0.00016347840483666755,0.0001860977064705618,2.2619301633894248e-05,False,0.5028336054447483,0.6372687975656457,0.13443519212089738,False
model_construction,True,,,A15-950-8-70000,15.0,950.0,8.0,70000.0,14.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.25280669929019195,0.19427692128004379,-0.058529778010148165,True,0.12769321874415293,0.20780431896130605,0.08011110021715312,False,0.0012943557885828892,0.0021295506380962395,0.0008351948495133503,False,0.00024481997219713553,0.0002566127593344455,1.1792787137309974e-05,False,1.170304153286211,1.63446260562391,0.4641584523376989,False
model_construction,True,,,A2-550-8-60000,2.0,550.0,8.0,60000.0,12.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.28690515111111053,0.21527473576398856,-0.07163041534712197,True,0.1868037577726671,0.20537551092972497,0.018571753157057863,False,0.0015671868587936258,0.0016312724594019007,6.408560060827489e-05,False,0.0001982447333787721,0.00020244262231464472,4.197888935872612e-06,False,1.8800245169536909,1.9316175217029208,0.0515930047492299,False
model_construction,True,,,A3-950-8-60000,3.0,950.0,8.0,60000.0,12.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.26645389825683935,0.17409978662605088,-0.09235411163078847,True,0.09061555510870574,0.16074827809810002,0.07013272298939428,False,0.000793066288141726,0.0014884826670726501,0.0006954163789309241,False,0.00018591548358044745,0.00022107244982258825,3.5156966242140796e-05,False,0.7055516136815844,0.9089366261014517,0.20338501241986728,False
model_construction,True,,,A4-750-6-60000,4.0,750.0,6.0,60000.0,12.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.2668133241307877,0.18083176753647165,-0.08598155659431603,True,0.13143810095985448,0.20323189192433153,0.07179379096447705,False,0.0010637826037485215,0.0015957393252082443,0.0005319567214597228,False,0.00018064741620191316,0.00019028358714574012,9.636170943826952e-06,False,1.599517714171271,2.071778763055159,0.4722610488838881,False
model_construction,True,,,A5-750-10-60000,5.0,750.0,10.0,60000.0,12.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.2710132748856019,0.19882021176908662,-0.07219306311651527,True,0.12992730870021826,0.2252298768247073,0.09530256812448903,False,0.0012071539937601407,0.0021554634557064477,0.000948309461946307,False,0.00022212339559156774,0.00024374543462356933,2.1622039032001593e-05,False,1.2014315195512857,1.717778323332183,0.5163468037808974,False
model_construction,True,,,A6-750-8-40000,6.0,750.0,8.0,40000.0,8.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.26940376780809844,0.18578118059580964,-0.0836225872122888,True,0.0879055397889116,0.13613767285693198,0.04823213306802039,False,0.000675166839804178,0.0010647678730927334,0.00038960103328855545,False,0.00017802886733148606,0.00018336136820131172,5.332500869825659e-06,False,0.6852921250568386,0.742861569130472,0.0575694440736334,False
model_construction,True,,,A7-750-8-70000,7.0,750.0,8.0,70000.0,14.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.27263304443331565,0.20532828552422275,-0.0673047589090929,True,0.1805984856636845,0.2610598244194001,0.08046133875571562,False,0.001809497350551567,0.002486709482152272,0.0006772121316007049,False,0.00024309986194829395,0.00024946178624128733,6.361924292993382e-06,False,1.7888363350303684,2.392598477717598,0.6037621426872295,False
model_construction,True,,,A8-550-6-60000,8.0,550.0,6.0,60000.0,12.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.2737180876505992,0.182677900237345,-0.09104018741325418,True,0.1628973339425497,0.23313339889556817,0.07023606495301846,False,0.001026412787759488,0.0012632918261739343,0.00023687903841444627,False,0.00016425825540260878,0.00017173602985855925,7.47777445595047e-06,False,2.803334454281881,3.6364382233594195,0.8331037690775385,False
model_construction,True,,,A9-550-10-60000,9.0,550.0,10.0,60000.0,12.0,training selection evidence,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.28292184261839226,0.22244525214615,-0.06047659047224227,True,0.23958791988969738,0.18642033752058015,-0.05316758236911723,True,0.002154159246457156,0.0015728296973256453,-0.0005813295491315107,True,0.00021380756141205193,0.000228767077191452,1.4959515779400056e-05,False,1.9750903001043512,1.3177824943062253,-0.6573078057981259,True
same_ecosystem_holdout,False,a16_a20_additional_holdout,additional data,A16-550-7.5-40000,16.0,550.0,7.5,40000.0,8.0,holdout transfer audit only,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.2619182545831989,0.20777119175859873,-0.05414706282460016,True,0.26079933699749874,0.25634107830186337,-0.004458258695635375,True,0.0020364285104938705,0.001997336679321254,-3.909183117261662e-05,True,0.00019894023338335655,0.00019648534765104658,-2.454885732309966e-06,True,2.3705687794644077,2.1650871073741107,-0.205481672090297,True
same_ecosystem_holdout,False,a16_a20_additional_holdout,additional data,A17-650-8-45000,17.0,650.0,8.0,45000.0,9.0,holdout transfer audit only,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.2532085128721456,0.19168616442064587,-0.0615223484514997,True,0.16717522217787142,0.21062148909159636,0.04344626691372494,False,0.001388221697034256,0.001847226781524459,0.000459005084490203,False,0.00017951412197938295,0.00018457004481972348,5.0559228403405335e-06,False,1.4028416030176023,1.522953095298437,0.12011149228083462,False
same_ecosystem_holdout,False,a16_a20_additional_holdout,additional data,A18-700-8-50000,18.0,700.0,8.0,50000.0,10.0,holdout transfer audit only,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.24826863471369698,0.18411682619872002,-0.06415180851497695,True,0.1622725290300036,0.2116403035906134,0.049367774560609784,False,0.0014705585315689142,0.0018963897427508216,0.00042583121118190746,False,0.00017718382918022508,0.00019393060756253935,1.674677838231427e-05,False,1.279660227371747,1.3710217777574025,0.09136155038565552,False
same_ecosystem_holdout,False,a16_a20_additional_holdout,additional data,A19-800-7.5-40000,19.0,800.0,7.5,40000.0,8.0,holdout transfer audit only,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.2719818119824445,0.1742147181152582,-0.09776709386718627,True,0.1009479201322428,0.16167294680687896,0.06072502667463617,False,0.00079006309752328,0.0013299822484566356,0.0005399191509333557,False,0.00016806610615033386,0.0001775990297446553,9.532923594321441e-06,False,0.7694175523272437,0.8400050129182661,0.07058746059102239,False
same_ecosystem_holdout,False,a16_a20_additional_holdout,additional data,A20-950-6-65000,20.0,950.0,6.0,65000.0,13.0,holdout transfer audit only,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.275772953100714,0.18810963543607215,-0.08766331766464183,True,0.1475939094191149,0.1766942530910924,0.029100343671977502,False,0.0013263629423327379,0.0015177417793863371,0.00019137883705359925,False,0.0001973723858252951,0.00021325160863246248,1.5879222807167384e-05,False,1.2892032667972328,1.2744469049007026,-0.01475636189653029,True
same_ecosystem_holdout,False,v_prefixed_validation_holdout,validation data,V1-450-7-45000,1.0,450.0,7.0,45000.0,9.0,holdout transfer audit only,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.3005753105157188,0.21976352453275128,-0.08081178598296751,True,0.22275416964724115,0.17875231420401572,-0.044001855443225435,True,0.0014535600897391694,0.0009901970060451455,-0.000463363083694024,True,0.00017642032810338663,0.00017981095103910261,3.3906229357159835e-06,False,2.7364702791827007,2.6220829468574913,-0.11438733232520937,True
same_ecosystem_holdout,False,v_prefixed_validation_holdout,validation data,V2-650-8.5-55000,2.0,650.0,8.5,55000.0,11.0,holdout transfer audit only,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.2601397595512007,0.21270737823216532,-0.047432381319035405,True,0.2442636897920272,0.18461632207751466,-0.05964736771451254,True,0.002315433435975798,0.0016521211712642913,-0.0006633122647115067,True,0.00022999804195313747,0.0002408649841946205,1.0866942241483026e-05,False,2.1363313249255143,1.5046988962542465,-0.6316324286712678,True
same_ecosystem_holdout,False,v_prefixed_validation_holdout,validation data,V3-750-9-50000,3.0,750.0,9.0,50000.0,10.0,holdout transfer audit only,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.27023733572502334,0.1766165502053313,-0.09362078551969205,True,0.08068237301979853,0.1718513775614009,0.09116900454160237,False,0.0006911490535484317,0.0015530606915385708,0.000861911637990139,False,0.00018353412192990024,0.00020676887790776498,2.323475597786474e-05,False,0.5791866164590682,0.7771578929808113,0.19797127652174307,False
same_ecosystem_holdout,False,v_prefixed_validation_holdout,validation data,V4-850-7.5-65000,4.0,850.0,7.5,65000.0,13.0,holdout transfer audit only,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.2632650581699048,0.2036667874028292,-0.059598270767075606,True,0.1287062836158875,0.22595760575145207,0.09725132213556456,False,0.0012774421054688439,0.002171356164370889,0.0008939140589020451,False,0.00023393104055563052,0.0002656343246603795,3.170328410474901e-05,False,1.0838986757383289,1.5481294598380078,0.4642307840996789,False
same_ecosystem_holdout,False,v_prefixed_validation_holdout,validation data,V5-900-9.5-45000,5.0,900.0,9.5,45000.0,9.0,holdout transfer audit only,superellipsoid is the selected algebraic observed-envelope descriptor; geometric distances and volume proxy restrict interpretation,0.27065033940142114,0.17937702645548517,-0.09127331294593596,True,0.09892458987444891,0.15255632272105066,0.05363173284660175,False,0.0007513103288945412,0.0011865123086409201,0.00043520197974637894,False,0.00015206466847610678,0.00017232575157975617,2.0261083103649384e-05,False,0.638778116634786,0.7705729566230307,0.1317948399882447,False
model_construction,True,summary,,summary,,,,,,aggregate,aggregate paired case-level metric comparison,0.26954022595912336,0.19366964935882125,-0.0758705766003021,1.0,0.14418371216830544,0.19657895723081686,0.052395245062511406,0.13333333333333333,0.0012419779510655787,0.001638167731884227,0.00039618978081864804,0.13333333333333333,0.00020106683949051087,0.00021441054109929897,1.3343701608788094e-05,0.0,1.4267743401267219,1.6804313232829693,0.2536569831562473,0.13333333333333333
same_ecosystem_holdout,False,summary,,summary,,,,,,aggregate,aggregate paired case-level metric comparison,0.26760179706154685,0.19380298027578574,-0.07379881678576114,1.0,0.16141200237061346,0.19307040131974787,0.03165839894913437,0.3,0.0013500529792579842,0.0016141924573299324,0.0002641394780719481,0.3,0.00018970248775367554,0.0002031241527792051,1.3421665025529581e-05,0.1,1.428635644191863,1.4396156050802504,0.010979960888387475,0.4
